,name_in_url,he_count,she_count,name_in_profile
398,simon_anholt,2,0,Simon Anholt
399,olutimehin_adegbeye,0,1,OluTimehin Adegbeye
400,ge_wang,2,0,Ge Wang
401,jacek_utko,8,0,Jacek Utko
402,the_teresa_carreno_youth_orchestra,1,0,Gustavo Dudamel and the Teresa Carreño Youth Orchestra
403,tracy_chevalier,0,3,Tracy Chevalier
404,charlie_todd,2,0,Charlie Todd
405,stewart_brand,1,0,Stewart Brand
406,michael_anti,1,0,Michael Anti
407,rutger_bregman,0,0,Rutger Bregman
408,abigail_washburn,0,4,Abigail Washburn
409,james_beacham,3,0,James Beacham
410,david_burkus,5,1,David Burkus
411,bob_thurman,5,0,Robert Thurman
412,colin_camerer,3,0,Colin Camerer
413,tim_birkhead,0,1,Tim Birkhead
414,sue_austin,0,4,Sue Austin
415,bilal_bomani,6,0,Bilal Bomani
416,anjan_chatterjee,1,0,Anjan Chatterjee
417,kevin_briggs,3,0,Kevin Briggs
418,chris_abani,5,0,Chris Abani
419,marian_bantjes,0,6,Marian Bantjes
420,anant_agarwal,1,0,Anant Agarwal
421,jack_choi,0,0,Jack Choi
422,paddy_ashdown,5,0,Paddy Ashdown
423,mechai_viravaidya,2,0,Mechai Viravaidya
424,jason_clay,2,0,Jason Clay
425,stefana_broadbent,0,10,Stefana Broadbent
426,cheyenne_cochrane,0,11,Cheyenne Cochrane
427,mark_applebaum,4,0,Mark Applebaum
428,george_ayittey,4,0,George Ayittey
429,sinead_burke,0,6,Sinéad Burke
430,khalida_brohi,0,9,Khalida Brohi
431,c_noel_bairey_merz,0,5,C. Noel Bairey Merz
432,karen_t_walker,0,0,Karen Thompson Walker
433,luca_turin,7,0,Luca Turin
434,cynthia_breazeal,0,3,Cynthia Breazeal
435,robb_willer,2,0,Robb Willer
436,karen_tse,0,4,Karen Tse
437,boaz_almog,0,0,Boaz Almog
438,timothy_bartik,2,0,Timothy Bartik
439,david_cameron,7,0,David Cameron
440,manal_al_sharif,2,7,Manal al-Sharif
441,suzanne_barakat,0,1,Suzanne Barakat
442,curtis_wall_street_carroll,7,0,"Curtis ""Wall Street"" Carroll"
443,dan_buettner,3,0,Dan Buettner
444,andy_yen,2,0,Andy Yen
445,rachel_botsman,0,4,Rachel Botsman
446,wendy_troxel,0,8,Wendy Troxel
447,gary_wolf,7,0,Gary Wolf
448,taylor_wilson,11,0,Taylor Wilson
449,jimmy_wales,0,0,Jimmy Wales
450,noy_thrupkaew,0,1,Noy Thrupkaew
451,richard_weller,0,0,Richard Weller
452,vy_higginsen_s_gospel_choir_of_harlem,0,0,Vy Higginsen's Gospel Choir
453,robert_wright,0,0,Robert Wright
454,carlos_bautista,1,0,Carlos Bautista
455,don_tapscott,0,0,Don Tapscott
456,astro_teller,1,0,Astro Teller
457,massimo_banzi,2,0,Massimo Banzi
458,annmarie_thomas,0,5,AnnMarie Thomas
459,daffodil_hudson,0,0,The TED Staff
460,jamil_abu_wardeh,4,0,Jamil Abu-Wardeh
461,jd_vance,3,0,J.D. Vance
462,edith_widder,1,5,Edith Widder
463,alexander_betts,2,0,Alexander Betts
464,sean_carroll,2,0,Sean Carroll
465,james_stavridis,9,0,James Stavridis
466,mona_chalabi,0,4,Mona Chalabi
467,trevor_aaronson,2,0,Trevor Aaronson
468,jun_wang,3,0,Jun Wang
469,jake_barton,0,0,Jake Barton
470,stacey_baker,0,3,Stacey Baker
471,dennis_vanengelsdorp,2,0,Dennis vanEngelsdorp
472,e_o_wilson,9,0,E.O. Wilson
473,caleb_barlow,2,0,Caleb Barlow
474,jon_boogz,4,0,Jon Boogz
475,christopher_bell,1,0,Christopher Bell
476,christoph_adami,4,0,Christoph Adami
477,yves_behar,0,1,Yves Behar
478,seema_bansal,0,1,Seema Bansal
479,boghuma_kabisen_titanji,0,4,Boghuma Kabisen Titanji
480,alice_bows_larkin,0,2,Alice Bows-Larkin
481,rebecca_brachman,0,7,Rebecca Brachman
